t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2023-12-04,202311,2,112116438,21102020060,1701324579472,,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/MIXED FRUIT/FREE 180 ML REAL WORTH RS 30,290,1000ML,TPK,,1701324579472-dabur nepal ltd--nepal-real fruit power#3.png,PARKER FOR NEXT MONTH,999,1,99765363,104.04598,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MIXED FRUIT TPK 1000 ML+REAL 180 ML FREE,TPK,1000.000 ML,MIXED FRUIT,,1000.0,ML,290.0
2023-12-04,202311,2,112116438,21102020060,1701324579472,,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/MIXED FRUIT/FREE 180 ML REAL WORTH RS 30,290,1000ML,TPK,,1701324579472-dabur nepal ltd--nepal-real fruit power#3.png,PARKER FOR NEXT MONTH,999,2,99765118,109.458885,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MIXED FRUIT TPK 1000 ML+REAL APPLE 180 ML FREE,TPK,1000.000 ML,MIXED FRUIT,,1000.0,ML,290.0
2023-12-04,202311,2,112116438,21102020060,1701324579472,,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/MIXED FRUIT/FREE 180 ML REAL WORTH RS 30,290,1000ML,TPK,,1701324579472-dabur nepal ltd--nepal-real fruit power#3.png,PARKER FOR NEXT MONTH,999,3,99765383,122.73228,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DABUR NEPAL LTD.-NEPAL,REAL,REAL BURRST,MIXED FRUIT TPK 170 ML,TPK,170.000 ML,MIXED FRUIT,,170.0,ML,25.0
2023-12-04,202311,2,122160674,12303020021,1700801745964,99765111.0,118,SHAMBHAVI FOOD AND BEVERAGES PVT. LTD,MAINTAIN DEW,MAINTAIN DEW PBT 1000ML,120,1000ML,PBT,,1700801745964-shambhavi food and beverages pvt- ltd-maintain dew#3.png,RECODING,5,1,99765445,129.70897,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SHAMBHAVI FOOD & BEVERAGES-NEPAL,MAINTAIN DEW,MAINTAIN DEW,PET 2250 ML,PET,2250.000 ML,LEMON,,2250.0,ML,260.0
2023-12-04,202311,2,122160674,12303020021,1700801745964,99765111.0,118,SHAMBHAVI FOOD AND BEVERAGES PVT. LTD,MAINTAIN DEW,MAINTAIN DEW PBT 1000ML,120,1000ML,PBT,,1700801745964-shambhavi food and beverages pvt- ltd-maintain dew#3.png,RECODING,5,2,99765411,131.7695,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SHAMBHAVI FOOD & BEVERAGES-NEPAL,MAINTAIN DEW,MAINTAIN DEW,PET 200 ML,PET,200.000 ML,LEMON,,200.0,ML,35.0
2023-12-04,202311,2,122160674,12303020021,1700801745964,99765111.0,118,SHAMBHAVI FOOD AND BEVERAGES PVT. LTD,MAINTAIN DEW,MAINTAIN DEW PBT 1000ML,120,1000ML,PBT,,1700801745964-shambhavi food and beverages pvt- ltd-maintain dew#3.png,RECODING,5,3,99765111,132.27345,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SHAMBHAVI FOOD & BEVERAGES-NEPAL,MAINTAIN DEW,MAINTAIN DEW,PET 1000 ML,PET,1000.000 ML,LEMON,,1000.0,ML,120.0
2023-12-04,202311,2,123490448,31101020011,1700549616408,99765112.0,134,THE BINDESHWORI DRK WTR&BVG-NP,ALL IN ONE,ALL IN ONE PBT 1 LTR,25,1000ML,PBT,,1700549616408-the bindeshwori drk wtr-bvg-np-all in one#3.png,RECODING,5,1,54868,178.53635,118,SOFT DRINKS-NP,BULK WATER,BULK WATER,THE BINDESHWORI DRK WTR&BVG-NP,THE BINDESHWORI,THE BINDESHWORI,JAR 19000 ML,JAR,19000.000 ML,,,19000.0,ML,0.0
2023-12-04,202311,2,123490448,31101020011,1700549616408,99765112.0,134,THE BINDESHWORI DRK WTR&BVG-NP,ALL IN ONE,ALL IN ONE PBT 1 LTR,25,1000ML,PBT,,1700549616408-the bindeshwori drk wtr-bvg-np-all in one#3.png,RECODING,5,2,47798,190.05486,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,THE BINDESHWORI DRK WTR&BVG-NP,THE BINDESHWORI,THE BINDESHWORI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
2023-12-04,202311,2,123490448,31101020011,1700549616408,99765112.0,134,THE BINDESHWORI DRK WTR&BVG-NP,ALL IN ONE,ALL IN ONE PBT 1 LTR,25,1000ML,PBT,,1700549616408-the bindeshwori drk wtr-bvg-np-all in one#3.png,RECODING,5,3,99765112,198.19287,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,THE BINDESHWORI DRK WTR&BVG-NP,EPI AQUA WATER KING,EPI AQUA WATER KING,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
2023-12-04,202311,2,124303166,21301020032,1700372370852,99765110.0,134,A ONE POLYMERS & BEVERAGE P LTD,AQUA RAJDHANI,AQUA RAJDHANI\1000\ML,20,1000 ML,PET,,1700372370852-a one polymers - beverage p ltd-aqua rajdhani#3.png,RECODING,5,1,99765110,150.54373,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,A-ONE POLYMERS & BEVERAGE-NP,AQUA RAJDHANI,AQUA RAJDHANI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
