t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
11/12/2024,202412,3,2110100370,21101031706,1733828064964,99765334,105,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT ORIGINAL,161.5,20,HL,,1733828064964-jt international - sa-camel connect#3.png,RECODING,5,1,99765334,62.61396,105,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT ORIGINAL,HL 20'S,HL,20,FULL FLAVOUR,,20.0,NO,161.5
11/12/2024,202412,3,2110100370,21101031706,1733828064964,99765334,105,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT ORIGINAL,161.5,20,HL,,1733828064964-jt international - sa-camel connect#3.png,RECODING,5,2,99765335,70.57982,105,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT MINT CRUSH,HL 20'S,HL,20,FRESH,,20.0,NO,239.0
11/12/2024,202412,3,2110100370,21101031706,1733828064964,99765334,105,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT ORIGINAL,161.5,20,HL,,1733828064964-jt international - sa-camel connect#3.png,RECODING,5,3,90110150,114.70746,105,JT INTERNATIONAL - SA,CAMEL,CAMEL BLUE,HL 20'S,HL,20,LIGHT,,20.0,NO,300.0
11/12/2024,202412,3,2110100370,21101031706,1733828365862,99765335,105,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT MINT CRUSH,239.0,20,HL,,1733828365862-jt international - sa-camel connect#3.png,RECODING,5,1,99765335,36.504898,105,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT MINT CRUSH,HL 20'S,HL,20,FRESH,,20.0,NO,239.0
11/12/2024,202412,3,2110100370,21101031706,1733828365862,99765335,105,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT MINT CRUSH,239.0,20,HL,,1733828365862-jt international - sa-camel connect#3.png,RECODING,5,2,99765334,110.14783,105,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT ORIGINAL,HL 20'S,HL,20,FULL FLAVOUR,,20.0,NO,161.5
11/12/2024,202412,3,2110100370,21101031706,1733828365862,99765335,105,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT MINT CRUSH,239.0,20,HL,,1733828365862-jt international - sa-camel connect#3.png,RECODING,5,3,90110150,146.65457,105,JT INTERNATIONAL - SA,CAMEL,CAMEL BLUE,HL 20'S,HL,20,LIGHT,,20.0,NO,300.0
12/12/2024,202412,2,233775810076,23377020003,1733914404052,20121653,118,COCA COLA COMPANY IMPRTD-IMPTD,THUMS UP ,THUMS UP\PBT\2000ML\CARBONATED ,158.4,2000ML,PBT,,1733914404052-coca cola company imprtd-imptd-thums up #3.png,CROSS CODING,2,1,20121653,41.56655,118,COCA COLA COMPANY IMPRTD-IMPTD,THUMS UP,THUMS UP,PET 2000 ML,PET,2000.000 ML,COLA,,2000.0,ML,160.0
12/12/2024,202412,2,233775810076,23377020003,1733914404052,20121653,118,COCA COLA COMPANY IMPRTD-IMPTD,THUMS UP ,THUMS UP\PBT\2000ML\CARBONATED ,158.4,2000ML,PBT,,1733914404052-coca cola company imprtd-imptd-thums up #3.png,CROSS CODING,2,2,20121098,51.301647,118,COCA COLA COMPANY IMPRTD-IMPTD,THUMS UP,THUMS UP,PET 600 ML,PET,600.000 ML,COLA,,600.0,ML,0.0
12/12/2024,202412,2,233775810076,23377020003,1733914404052,20121653,118,COCA COLA COMPANY IMPRTD-IMPTD,THUMS UP ,THUMS UP\PBT\2000ML\CARBONATED ,158.4,2000ML,PBT,,1733914404052-coca cola company imprtd-imptd-thums up #3.png,CROSS CODING,2,3,99763614,52.336613,118,COCA COLA COMPANY IMPRTD-IMPTD,THUMS UP,THUMS UP,PET 2250 ML,PET,2250.000 ML,COLA,,2250.0,ML,152.0
12/12/2024,202412,2,233775810076,23377020003,1733913918201,52357,118,COCA COLA COMPANY IMPRTD-IMPTD ,THUMS UP ,THUMS UP\750ML\PBT\CARBONATED ,64.0,750ML,PBT,,1733913918201-coca cola company imprtd-imptd -thums up #3.png,CROSS CODING,2,1,52357,42.403545,118,COCA COLA COMPANY IMPRTD-IMPTD,THUMS UP,THUMS UP,PET 750 ML,PET,750.000 ML,COLA,,750.0,ML,65.0
12/12/2024,202412,2,233775810076,23377020003,1733913918201,52357,118,COCA COLA COMPANY IMPRTD-IMPTD ,THUMS UP ,THUMS UP\750ML\PBT\CARBONATED ,64.0,750ML,PBT,,1733913918201-coca cola company imprtd-imptd -thums up #3.png,CROSS CODING,2,2,20121098,49.38079,118,COCA COLA COMPANY IMPRTD-IMPTD,THUMS UP,THUMS UP,PET 600 ML,PET,600.000 ML,COLA,,600.0,ML,0.0
12/12/2024,202412,2,233775810076,23377020003,1733913918201,52357,118,COCA COLA COMPANY IMPRTD-IMPTD ,THUMS UP ,THUMS UP\750ML\PBT\CARBONATED ,64.0,750ML,PBT,,1733913918201-coca cola company imprtd-imptd -thums up #3.png,CROSS CODING,2,3,20121653,54.341038,118,COCA COLA COMPANY IMPRTD-IMPTD,THUMS UP,THUMS UP,PET 2000 ML,PET,2000.000 ML,COLA,,2000.0,ML,160.0
24/12/2024,202412,2,128811177,52203020008,1734591105905,99765336,134,CG FOODS- NEPAL,RIO ,RIO/GUAVA DELIGHT/180ML/TPK,25.0,180ML ,TPK,,1734591105905-cg foods- nepal-rio #3.png,RECODING,5,1,49635,97.36272,118,CG FOODS- NEPAL,RIO,RIO JUCILO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
24/12/2024,202412,2,128811177,52203020008,1734591105905,99765336,134,CG FOODS- NEPAL,RIO ,RIO/GUAVA DELIGHT/180ML/TPK,25.0,180ML ,TPK,,1734591105905-cg foods- nepal-rio #3.png,RECODING,5,2,99765336,134.19063,118,CHAUDHARY GROUP - NEPAL,RIO,RIO GUAVA DELIGHT,GUAVA TPK 180 ML,TPK,180.000 ML,GUAVA,,180.0,ML,25.0
24/12/2024,202412,2,128811177,52203020008,1734591105905,99765336,134,CG FOODS- NEPAL,RIO ,RIO/GUAVA DELIGHT/180ML/TPK,25.0,180ML ,TPK,,1734591105905-cg foods- nepal-rio #3.png,RECODING,5,3,99765473,141.96402,118,CHAUDHARY GROUP - NEPAL,RIO,RIO,GUAVA TPK 180 ML,TPK,180.000 ML,GUAVA,,180.0,ML,25.0
