t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2023-07-17,202307,2,112284433,21102020057,1689317797145,20110266.0,118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA COLA/RS30 OFF/2250ML/PBT/RS 230,230,2250ML,PBT,,1689317797145-bottlers nepal - nepal-coca-cola#3.png,CROSS CODING,2,1,20121858,42.36683,118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 300 ML,PET,300.000 ML,COLA,,300.0,ML,0.0
2023-07-17,202307,2,112284433,21102020057,1689317797145,20110266.0,118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA COLA/RS30 OFF/2250ML/PBT/RS 230,230,2250ML,PBT,,1689317797145-bottlers nepal - nepal-coca-cola#3.png,CROSS CODING,2,2,52789,43.119682,118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 250 ML,PET,250.000 ML,COLA,,250.0,ML,0.0
2023-07-17,202307,2,112284433,21102020057,1689317797145,20110266.0,118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA COLA/RS30 OFF/2250ML/PBT/RS 230,230,2250ML,PBT,,1689317797145-bottlers nepal - nepal-coca-cola#3.png,CROSS CODING,2,3,20110266,43.13347,118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,PET 2250 ML,PET,2250.000 ML,COLA,,2250.0,ML,0.0
2023-07-17,202307,2,111949706,21102020058,1689146499518,99765078.0,118,SABARAT AGRO PVT.LTD NEPAL,PALOMA,PALOMA-PEACH MANGO FUSION/PBT/300ML,60,300ML,PBT,,1689146499518-sabarat agro pvt-ltd nepal-paloma#3.png,RECODING,5,1,99765078,60.886284,118,SABARAT AGRO PVT. LTD.-NEPAL,PALOMA,PALOMA,PET 300 ML,PET,300.000 ML,PEACH & MANGO,,300.0,ML,60.0
2023-07-17,202307,2,111949706,21102020058,1689146499518,99765078.0,118,SABARAT AGRO PVT.LTD NEPAL,PALOMA,PALOMA-PEACH MANGO FUSION/PBT/300ML,60,300ML,PBT,,1689146499518-sabarat agro pvt-ltd nepal-paloma#3.png,RECODING,5,2,99765264,140.38474,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO PET 2000 ML,PET,2000.000 ML,MANGO,,2000.0,ML,270.0
2023-07-17,202307,2,111949706,21102020058,1689146499518,99765078.0,118,SABARAT AGRO PVT.LTD NEPAL,PALOMA,PALOMA-PEACH MANGO FUSION/PBT/300ML,60,300ML,PBT,,1689146499518-sabarat agro pvt-ltd nepal-paloma#3.png,RECODING,5,3,99762379,142.40758,118,ODAT BEVERAGE PVT LTD-NEPAL,PRAN,PRAN FROOTO,MANGO PET 250 ML,PET,250.000 ML,MANGO,,250.0,ML,35.0
2023-07-17,202307,2,111949706,21102020058,1689146671651,,118,SABARAT AGRO PVT.LTD NEPAL,SABARU,SABARU-PEACH ICED TEA/PBT/300 ML,80,300ML,PBT,,1689146671651-sabarat agro pvt-ltd nepal-sabaru#3.png,DELETE THE ITEM,1,1,99765078,122.54504,118,SABARAT AGRO PVT. LTD.-NEPAL,PALOMA,PALOMA,PET 300 ML,PET,300.000 ML,PEACH & MANGO,,300.0,ML,60.0
2023-07-17,202307,2,111949706,21102020058,1689146671651,,118,SABARAT AGRO PVT.LTD NEPAL,SABARU,SABARU-PEACH ICED TEA/PBT/300 ML,80,300ML,PBT,,1689146671651-sabarat agro pvt-ltd nepal-sabaru#3.png,DELETE THE ITEM,1,2,90861783,164.16754,111,DABUR NEPAL LTD.-NEPAL,DABUR,DABUR AMLA,DABUR AMLA-PBT 300 ML+50ML DABUR SPECIAL JASMINE HOIL,PLBOT,300.000 ML,,,300.0,ML,0.0
2023-07-17,202307,2,111949706,21102020058,1689146671651,,118,SABARAT AGRO PVT.LTD NEPAL,SABARU,SABARU-PEACH ICED TEA/PBT/300 ML,80,300ML,PBT,,1689146671651-sabarat agro pvt-ltd nepal-sabaru#3.png,DELETE THE ITEM,1,3,20110422,164.48248,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL,PEACH APR.SOYA  TPK 1000 ML,TPK,1000.000 ML,MIXED FRUIT,,1000.0,ML,0.0
2023-07-17,202307,2,111949706,21102020058,1689146194676,99765075.0,118,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE,FIZZY LIFE-NIMBOO-PBT-250ML,50,250ML,PBT,,1689146194676-life food - beverage-nepal-fizzy life#3.png,RECODING,5,1,99765075,41.599976,118,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE,FIZZY LIFE NIMBOO,LEMON PET 250 ML,PET,250.000 ML,LEMON,,250.0,ML,50.0
2023-07-17,202307,2,111949706,21102020058,1689146194676,99765075.0,118,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE,FIZZY LIFE-NIMBOO-PBT-250ML,50,250ML,PBT,,1689146194676-life food - beverage-nepal-fizzy life#3.png,RECODING,5,2,99765395,44.659874,118,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE,FIZZY LIFE NIMBOO,LEMON PET 500 ML,PET,500.000 ML,LEMON,,500.0,ML,85.0
2023-07-17,202307,2,111949706,21102020058,1689146194676,99765075.0,118,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE,FIZZY LIFE-NIMBOO-PBT-250ML,50,250ML,PBT,,1689146194676-life food - beverage-nepal-fizzy life#3.png,RECODING,5,3,99765206,65.63161,118,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE,FIZZY LIFE LAHORI JAL JEERA,JAL JEERA PET 250 ML,PET,250.000 ML,JEERA,,250.0,ML,50.0
2023-07-17,202307,2,129024634,22101020014,1688987959682,99765074.0,134,VARUN BEVERAGE -INDIA,SLICE ,SLICE\200ML\PBT\MANGO FLAVOUR ,32,200ML,PBT,,1688987959682-varun beverage -india-slice #3.png,RECODING,5,1,49150,87.03065,118,VARUN BEVERAGE -INDIA,SLICE,SLICE,TROPICANA PET 1200 ML,PET,1200.000 ML,MANGO,,1200.0,ML,0.0
