t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559.0,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,1,52568,71.4866,118,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI,MANGO TPK 160 ML,TPK,160.000 ML,MANGO,,160.0,ML,0.0
2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559.0,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,2,51769,80.14077,118,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI,MANGO TPK 65 ML,TPK,65.000 ML,MANGO,,65.0,ML,0.0
2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559.0,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,3,99763711,92.492325,118,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI,MANGO PET 300 ML,PET,300.000 ML,MANGO,,300.0,ML,32.0
2023-03-10,202303,2,113200967,21101020334,1678342726599,99764704.0,134,PARLE AGRO PVT LTD-INDIA,APPY,APPY\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678342726599-parle agro pvt ltd-india-appy#3.png,CROSS CODING,2,1,99764819,119.10741,118,PARLE AGRO PVT LTD-INDIA,APPY,APPY FIZZ APPLE,APPLE PET 160 ML,PET,160.000 ML,APPLE,,160.0,ML,30.0
2023-03-10,202303,2,113200967,21101020334,1678342726599,99764704.0,134,PARLE AGRO PVT LTD-INDIA,APPY,APPY\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678342726599-parle agro pvt ltd-india-appy#3.png,CROSS CODING,2,2,52568,119.36453,118,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI,MANGO TPK 160 ML,TPK,160.000 ML,MANGO,,160.0,ML,0.0
2023-03-10,202303,2,113200967,21101020334,1678342726599,99764704.0,134,PARLE AGRO PVT LTD-INDIA,APPY,APPY\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678342726599-parle agro pvt ltd-india-appy#3.png,CROSS CODING,2,3,99765079,120.29535,118,PARLE AGRO PVT LTD-INDIA,APPY,APPY FIZZ APPLE,APPLE PET 250 ML,PET,250.000 ML,APPLE,,250.0,ML,40.0
2023-03-10,202303,2,131076027,22101020027,1678343905076,99764932.0,134,PRAGATI CHEMICAL-INDIA,KEMPTY LITCHI,KEMPTY LITCHI\150ML\PBT\20ML FREE PULPY LITCHI,16.0,PBT,150ML,,1678343905076-pragati chemical-india-kempty litchi#3.png,RECODING,5,1,99764932,79.74299,118,PRAGATI CHEMICAL-INDIA,KEMPTY,KEMPTY LITCHI,LITCHI PET 150 ML+20 ML FREE,PET,150.000 ML,LYCHEE,,170.0,ML,16.0
2023-03-10,202303,2,131076027,22101020027,1678343905076,99764932.0,134,PRAGATI CHEMICAL-INDIA,KEMPTY LITCHI,KEMPTY LITCHI\150ML\PBT\20ML FREE PULPY LITCHI,16.0,PBT,150ML,,1678343905076-pragati chemical-india-kempty litchi#3.png,RECODING,5,2,99765302,106.032776,118,PRAGATI CHEMICAL-INDIA,MZP'S,MZP'S LITCHI,LITCHI PET 150 ML+20 ML FREE,PET,150.000 ML,LYCHEE,,170.0,ML,20.0
2023-03-10,202303,2,131076027,22101020027,1678343905076,99764932.0,134,PRAGATI CHEMICAL-INDIA,KEMPTY LITCHI,KEMPTY LITCHI\150ML\PBT\20ML FREE PULPY LITCHI,16.0,PBT,150ML,,1678343905076-pragati chemical-india-kempty litchi#3.png,RECODING,5,3,46692,141.1502,118,PRAGATI CHEMICAL-INDIA,KEMPTY,KEMPTY MANGO PUNCH,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2023-03-10,202303,2,112116438,21102020060,1678349808023,99764931.0,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS-MANGO/PBT/320ML/SINGAPORE BEVERAGES NEPAL PVT.LTD,140.0,PBT,320ML,,1678349808023-singapore beverage-nepal-fruit gems#3.png,RECODING,5,1,99764931,44.691875,118,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,MANGO PET 320 ML,PET,320.000 ML,MANGO,,320.0,ML,140.0
