t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
11/03/2024,202403,2,128296706,52202020003,1710054179346,99765153,134,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE/1000ML/PBT,25,1000ML ,PBT,,,RECODING,5,1,99765153,147.26169,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
11/03/2024,202403,2,128296706,52202020003,1710054179346,99765153,134,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE/1000ML/PBT,25,1000ML ,PBT,,,RECODING,5,2,99765152,166.90884,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,REAL DRINKING WATER INDUSTRY-NEPAL,ALPHA ZONE,ALPHA ZONE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
11/03/2024,202403,2,128296706,52202020003,1710054179346,99765153,134,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE/1000ML/PBT,25,1000ML ,PBT,,,RECODING,5,3,40124812,168.27527,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,Y.K DRINKING WATER INDUSTRIES-NEPAL,AQUA LEHAR,AQUA LEHAR,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
11/03/2024,202403,2,128302927,52202020011,1710054179346,99765153,134,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE/1000ML/PBT,25,1000ML ,PBT,Any other reason,1710054179346-p-g water industries-nepal-aqua care#3.png,RECODING,5,1,99765153,147.26169,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
11/03/2024,202403,2,128302927,52202020011,1710054179346,99765153,134,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE/1000ML/PBT,25,1000ML ,PBT,Any other reason,1710054179346-p-g water industries-nepal-aqua care#3.png,RECODING,5,2,99765152,166.90884,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,REAL DRINKING WATER INDUSTRY-NEPAL,ALPHA ZONE,ALPHA ZONE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
11/03/2024,202403,2,128302927,52202020011,1710054179346,99765153,134,P.G WATER INDUSTRIES-NEPAL,AQUA CARE,AQUA CARE/1000ML/PBT,25,1000ML ,PBT,Any other reason,1710054179346-p-g water industries-nepal-aqua care#3.png,RECODING,5,3,40124812,168.27527,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,Y.K DRINKING WATER INDUSTRIES-NEPAL,AQUA LEHAR,AQUA LEHAR,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
11/03/2024,202403,2,112167852,12101020001,1709722237489,99765154,134,S.A.N.S. BEVERAGE IND. PVT.LTD. NEPAL,KABELI,KABELI PROCESSED DRINKING WATER ,20,1-LTR.,PBT,,1709722237489-s-a-n-s- beverage ind- pvt-ltd- nepal-kabeli#3.png,RECODING,5,1,99763875,151.6405,118,SOFT DRINKS-NP,BULK WATER,BULK WATER,SN TOP BEVERAGE PVT LTD-NEPAL,AQUA KARNALI ,AQUA KARNALI ,JAR 20000 ML,JAR,20000.000 ML,,,20000.0,ML,40.0
11/03/2024,202403,2,112167852,12101020001,1709722237489,99765154,134,S.A.N.S. BEVERAGE IND. PVT.LTD. NEPAL,KABELI,KABELI PROCESSED DRINKING WATER ,20,1-LTR.,PBT,,1709722237489-s-a-n-s- beverage ind- pvt-ltd- nepal-kabeli#3.png,RECODING,5,2,99764836,152.3992,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,HIMAL AGRO & FOOD PVT LTD-NEPAL,SPRING KAVRE,SPRING KAVRE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
11/03/2024,202403,2,112167852,12101020001,1709722237489,99765154,134,S.A.N.S. BEVERAGE IND. PVT.LTD. NEPAL,KABELI,KABELI PROCESSED DRINKING WATER ,20,1-LTR.,PBT,,1709722237489-s-a-n-s- beverage ind- pvt-ltd- nepal-kabeli#3.png,RECODING,5,3,99765154,153.79558,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,S.A.N.S BEVERAGE IND. PVT. LTD.-NPL,KABELI,KABELI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
11/03/2024,202403,3,3110103023,31101030364,1709710254462,99765156,105,GORKHA LAHARI PVT.LTD.- NEPAL,MAYALU,MAYALU FILTER\20 KS\HL\RS:100\GORKHA LAHARI PVT.LTD NEPAL,88,20,CBP,New SKU,1709710254462-gorkha lahari pvt-ltd-- nepal-mayalu#3.png,RECODING,5,1,99765156,96.26589,105,CIGARETTE,,,GORKHA LAHARI PVT.LTD.- NEPAL,MAYALU,MAYALU FILTER,HL 20'S,HL,20,FULL FLAVOUR,,20.0,NO,88.0
